Model,Relevance_story_pearson,Coherence_story_pearson,Empathy_story_pearson,Surprise_story_pearson,Engagement_story_pearson,Complexity_story_pearson,Relevance_system_pearson,Coherence_system_pearson,Empathy_system_pearson,Surprise_system_pearson,Engagement_system_pearson,Complexity_system_pearson
ROUGE-4 Recall Ξ§,0.0711283509503375,0.039414946657273235,0.022319410440151677,0.07249497865291449,0.022280421651876596,0.030759051728351694,0.4021372343491424,0.14292512911052657,0.1298904984223087,0.37191987743304217,0.27940096561524425,0.38945255960062547
ROUGE-4 Precision Ξ§,0.03073531959171648,0.05661111115877309,0.04358165732799838,0.08212961618093859,0.07049889174436,0.09479764025575618,0.7105410039810973,0.5701776330455505,0.5953210974044216,0.7820632973212633,0.6872896707217642,0.7699280679756667
ROUGE-4 F-Score Ξ§,0.05865255922827119,0.05206398626147015,0.0354353667255578,0.07990803301095008,0.040174142995217356,0.05044926465623506,0.5558959744776243,0.3772207654400158,0.3761545130000945,0.6059409220436779,0.5104100249020969,0.6134627134814858
ROUGE-L Recall Ξ§,0.12174864832310295,0.17766130296861898,0.18594141009522594,0.14074608355611273,0.20084123452032496,0.273055881492954,0.7691417101725776,0.7136555871357599,0.7379068817154669,0.8004790710538838,0.787202692746576,0.8758155963069575
ROUGE-L Precision Ξ§,0.04487826616248884,0.1201424423545419,0.1109769890308793,0.14899433273178742,0.1794485538123708,0.25463304415011273,0.725925785276452,0.6505881478271431,0.6484287656716266,0.8199840083068618,0.7639085220984554,0.8689370644265987
ROUGE-L F-Score Ξ§,0.13184467544063305,0.18843371429000272,0.19021979842428127,0.12136663118489222,0.21664781865710991,0.24910139039390217,0.5892088840898617,0.8049946637277775,0.8301506676975183,0.7249219728481019,0.8162557235029778,0.791463649200325
ROUGE-W-1.2 Recall Ξ§,0.07956550135264592,0.10889220697097358,0.12180597955895486,0.08153157410143527,0.11437740294595655,0.15781811116163047,0.7612031392623066,0.7251039042759023,0.7399045081477421,0.8080325230157699,0.7961899962401947,0.8830660446447299
ROUGE-W-1.2 Precision Ξ§,0.06591935597269445,0.1644616817759642,0.14238901013715816,0.18814305774073675,0.23328802612442723,0.3169546699403093,0.7269351514178392,0.6887899319110503,0.683518059657415,0.8351317739063795,0.7947918358349977,0.8874064402224267
ROUGE-W-1.2 F-Score Ξ§,0.08140419881803006,0.10509379884570401,0.12209702113097282,0.06434160233883417,0.11148676348999069,0.139627754140918,0.688877723118164,0.7954333574409103,0.8153780807324592,0.7920916139537241,0.8361639314697292,0.8652501997766024
ROUGE-S* Recall Ξ§,0.14358345788903293,0.1873754989201786,0.19919062945452795,0.1475409229192809,0.21148083099300827,0.3109277276914376,0.8024003267945663,0.6440384499271912,0.6689103211467298,0.7727978541336588,0.7299288369910927,0.8439004938676171
ROUGE-S* Precision Ξ§,0.01588156868952739,0.00451483357111466,0.018242742562488083,0.049427382464742514,0.038130358576877244,0.07701618340930808,0.6489333729750504,0.3182949869010141,0.3461010116923463,0.5969379619824844,0.45663803788138013,0.6247374729288656
ROUGE-S* F-Score Ξ§,0.16620093723735657,0.23089467126819402,0.24574682747130908,0.1730593747270737,0.2765459409510639,0.3734747781796405,0.803879942178159,0.7684878782667073,0.8119335616094344,0.8348732693824732,0.841296445217685,0.9017875988149734
ROUGE-SU* Recall Ξ§,0.14248204948241247,0.18637569556075312,0.19807725588598243,0.14668052002512333,0.21009010999847522,0.308704391841516,0.8023184167779329,0.6455964865666717,0.6701559073040573,0.7740505996507623,0.7314332444611656,0.8450496273121626
ROUGE-SU* Precision Ξ§,0.012944884165395833,0.0009147479358305307,0.01886352987173371,0.05381359896607081,0.04242835201324385,0.08167463022671834,0.6562172096042008,0.3303717871360393,0.35622731615958314,0.6047919333784127,0.4685014596665522,0.6352915667685439
ROUGE-SU* F-Score Ξ§,0.16531025274948466,0.22983573165381926,0.2446626301680172,0.17167920913801882,0.2748877711863354,0.3707813183380968,0.8028571830059095,0.7707632193170144,0.8138687880343234,0.8357907111884304,0.8431684865336644,0.9025477512712191
METEOR Ξ§,0.1295163825161698,0.22710954277495338,0.2501662362218896,0.18996282787361968,0.27379663020641576,0.38405550760567764,0.7763192056121726,0.7194612768562703,0.7250235784716645,0.8319909880548882,0.8074366507270765,0.8970454543802014
chrF Ξ§,0.13839464720477507,0.25737531776249045,0.2446167798601675,0.2204633659928609,0.2941409009365392,0.40649303200313847,0.7629580459593743,0.745554645768649,0.7368634582801404,0.873878082862299,0.8328729737654667,0.9245492943271234
CIDEr Ξ§,0.07607249000416008,0.01114398203537828,0.04900756189350866,0.02000121828067796,0.026130326822476267,0.025219328979503287,0.26163626243626703,0.28050919567930643,0.24889831492106446,0.3293694975356647,0.32485807261790683,0.2839650616984611
ROUGE-WE-3 Recall Ξε,0.16857163184816681,0.25048487512552653,0.2654118421951977,0.17924348672053092,0.2698909181936343,0.37071693245050785,0.7535943136902137,0.7803403611558496,0.8096358047662872,0.8243507000602308,0.8430661469174644,0.9030204944086087
ROUGE-WE-3 Precision Ξε,0.02353441015265246,0.06720753540981353,0.024800073227553135,0.013818995153280896,0.022980553489289225,0.0011650528042168604,0.4677541716621625,0.08927309447745282,0.03181701862964245,0.24509419297415777,0.045142296227197204,0.2280424430199841
ROUGE-WE-3 F-Score Ξε,0.15694233268989471,0.2670018598509543,0.25739511007855664,0.1700307621571849,0.2869473056608611,0.3623911332069289,0.6229712033436059,0.8635508069009161,0.8792583385904478,0.8054526891795445,0.8897383043523606,0.8784244389851427
BERTScore Precision Ξε,0.08930280059981299,0.00244396303460112,0.035100843267677935,0.041388176851816824,0.014784060234293541,0.010607139630392592,0.30383647941453135,0.1729373517543633,0.10463641643548893,0.41790965695176713,0.3008842699244098,0.4190080669904358
BERTScore Recall Ξε,0.17783267895570898,0.3117093492498658,0.300814340849791,0.25501988554672783,0.37499858259196095,0.48618514233869486,0.733718773553115,0.8364911339373129,0.8272206061013995,0.9109228371445408,0.9081699032522921,0.9548867162501671
BERTScore F1 Ξε,0.17692946911241741,0.23924254394571898,0.24260470571815754,0.17116697367818537,0.2936871815434638,0.3696131562007013,0.69886591627576,0.8790751324957456,0.8867156172959239,0.8781490386166484,0.917392612762717,0.9256483674359616
