Model,Relevance_story_pearson,Coherence_story_pearson,Empathy_story_pearson,Surprise_story_pearson,Engagement_story_pearson,Complexity_story_pearson,Relevance_story_spearman,Coherence_story_spearman,Empathy_story_spearman,Surprise_story_spearman,Engagement_story_spearman,Complexity_story_spearman,Relevance_story_kendall,Coherence_story_kendall,Empathy_story_kendall,Surprise_story_kendall,Engagement_story_kendall,Complexity_story_kendall
ROUGE-4 Recall Ξ§,0.0711283509503375,0.039414946657273235,0.022319410440151677,0.07249497865291449,0.022280421651876596,0.030759051728351694,0.013071665882968604,0.013513005760628466,0.024317747968083975,0.06090815071757514,0.0005304315531307862,0.02984637846316548,0.01106704778941589,0.011553173208837217,0.020885949340306714,0.0527660693317212,0.0006516076191831881,0.02552125200447329
ROUGE-4 Precision Ξ§,0.03073531959171648,0.05661111115877309,0.04358165732799838,0.08212961618093859,0.07049889174436,0.09479764025575618,0.009949606825496381,0.010074351165491073,0.02061318285048146,0.06184908121049753,0.004658933182032178,0.03571373552571199,0.008495185397429975,0.008481149742492311,0.01770404532244384,0.053637879499949664,0.0041280955993629265,0.03090075053276596
ROUGE-4 F-Score Ξ§,0.05865255922827119,0.05206398626147015,0.0354353667255578,0.07990803301095008,0.040174142995217356,0.05044926465623506,0.012020991838134022,0.012653479904772636,0.023115030560435977,0.06155317266102331,0.0016377442072871963,0.031847052472495585,0.010278431311759297,0.010816630529790568,0.019910746128304006,0.05343322799834023,0.0014532901047833065,0.027306763280886714
ROUGE-L Recall Ξ§,0.12174864832310295,0.17766130296861898,0.18594141009522594,0.14074608355611273,0.20084123452032496,0.273055881492954,0.11604387841432094,0.17113824478849707,0.20449324723263368,0.1689166008211685,0.21461310373907289,0.2944681925271609,0.0816602366218088,0.12181631639282664,0.14583353040832064,0.12186034062343783,0.15256104792250133,0.2125872935299493
ROUGE-L Precision Ξ§,0.04487826616248884,0.1201424423545419,0.1109769890308793,0.14899433273178742,0.1794485538123708,0.25463304415011273,0.03529966690974951,0.08665754819863453,0.09530182404511787,0.12796457243172984,0.13458298028360544,0.22584741626061144,0.024889039893713133,0.06285373264429715,0.0682515441302082,0.09183753647903035,0.09475465160041895,0.16118504897111882
ROUGE-L F-Score Ξ§,0.13184467544063305,0.18843371429000272,0.19021979842428127,0.12136663118489222,0.21664781865710991,0.24910139039390217,0.11388538443242818,0.15502096685035643,0.20061356325278096,0.13315125592096483,0.1969387976485237,0.23168083725057062,0.08093703975028584,0.11171293040939441,0.14470150531398224,0.09606704173100102,0.14263424850660558,0.16778636698741206
ROUGE-W-1.2 Recall Ξ§,0.07956550135264592,0.10889220697097358,0.12180597955895486,0.08153157410143527,0.11437740294595655,0.15781811116163047,0.07407493024137317,0.11107943786504439,0.14454037858170998,0.1070132829987798,0.13971039972059082,0.18793315206374953,0.052315361036821675,0.07968510069246557,0.10283554693205649,0.07707143675697087,0.09897131749740894,0.13515311376313535
ROUGE-W-1.2 Precision Ξ§,0.06591935597269445,0.1644616817759642,0.14238901013715816,0.18814305774073675,0.23328802612442723,0.3169546699403093,0.06284494984361055,0.13195524755323979,0.13661805052822232,0.1733743469776212,0.18811133322606235,0.2970941576042001,0.044101493982742684,0.09432686735423783,0.09765443410097123,0.12423218776285501,0.13333038661548172,0.2138787842379521
ROUGE-W-1.2 F-Score Ξ§,0.08140419881803006,0.10509379884570401,0.12209702113097282,0.06434160233883417,0.11148676348999069,0.139627754140918,0.07195645304858217,0.10433835724134324,0.14107901575587803,0.09295425724907858,0.12780695896984443,0.1658077982490061,0.05116348953481551,0.07471351551176302,0.1004571315792838,0.06737543496296186,0.09047333657187091,0.11919558576121046
ROUGE-S* Recall Ξ§,0.14358345788903293,0.1873754989201786,0.19919062945452795,0.1475409229192809,0.21148083099300827,0.3109277276914376,0.15171912410935268,0.2145745433682046,0.23775309760571423,0.21306230682605112,0.2700995782789319,0.37941446423274616,0.10683857839364665,0.1536701716628132,0.17028763550369852,0.15354241726823292,0.19269436704194648,0.27549485005031293
ROUGE-S* Precision Ξ§,0.01588156868952739,0.00451483357111466,0.018242742562488083,0.049427382464742514,0.038130358576877244,0.07701618340930808,0.01977881884528452,0.014170014658159539,0.015298494239885918,0.03744223222829484,0.0186760531015443,0.06302346664304134,0.014552512856676924,0.009341913251389871,0.011026767587119094,0.02671837652062634,0.013297427286442419,0.044856235926227284
