Model,Engagement_story_pearson,Engagement_story_spearman,Engagement_story_kendall,Engagement_system_pearson,Engagement_system_spearman,Engagement_system_kendall
BaryScore-SD-0.1 Ξε,0.17832946029579771,0.17482313306366143,0.1239325314520713,0.6984149805874218,0.6,0.4666666666666666
BaryScore-SD-0.01 Ξε,0.3037713464209164,0.2732118528067991,0.19549217433515084,0.912382475083489,0.7333333333333332,0.5555555555555555
BaryScore-SD-0.001 Ξε,0.03274295322487685,0.20162361819982966,0.14319392424635002,0.5386819132377625,0.9272727272727272,0.7777777777777777
S3-Pyramid ΞΔ,0.30245937031703946,0.3145914924257315,0.2259866583981685,0.8485583519057516,0.6,0.37777777777777777
S3-Responsiveness ΞΔ,0.2934658649823882,0.3093534053049317,0.22189553670270168,0.8485044620311863,0.6,0.37777777777777777
SummaQA ΞΔ,0.1882419274365011,0.18070627636216152,0.1275953383586444,0.6990430315554131,0.2727272727272727,0.19999999999999998
InfoLM-FisherRao ΞΔ,0.16476078875365635,0.15038998386396255,0.1062432116468146,0.7591861111624508,0.35757575757575755,0.19999999999999998
InfoLM-R-FisherRao ΞΔ,0.16476078875365635,0.15038998386396255,0.1062432116468146,0.7591861111624508,0.35757575757575755,0.19999999999999998
InfoLM-Sim-FisherRao ΞΔ,0.16476078875365635,0.15038998386396255,0.1062432116468146,0.7591861111624508,0.35757575757575755,0.19999999999999998
BARTScore-SH ΞΔ,0.10595468854278398,0.10995468129354126,0.0775633756334396,0.924440135230139,0.6848484848484848,0.5555555555555555
BARTScore-HS ΞΔ,0.19055055423317815,0.15044358198334398,0.10458717036757777,0.567385191570287,0.13939393939393938,0.06666666666666667
SUPERT-Golden ΞΔ,0.2463593229885016,0.2369147828399128,0.16912146630268352,0.9220951766131081,0.6363636363636362,0.4222222222222222
BLANC-Golden ΞΔ,0.058864766777219274,0.057914531315339995,0.04080942610549418,0.6568712280572698,0.28484848484848485,0.19999999999999998
Coverage ¤§,0.08935775958215321,0.027506644058744086,0.018544891005988644,0.7802979566439565,0.49090909090909085,0.37777777777777777
Density ¤§,0.08387598273617118,0.033167513495301226,0.023175256852641584,0.8360009819024251,0.38181818181818183,0.28888888888888886
Compression ¤§,0.27132885943859675,0.20986789068685002,0.15013344095692696,0.8876428862578403,0.5757575757575757,0.4222222222222222
Text length ¤§,0.30834683264062523,0.31471093194165695,0.2294198186495217,0.677700344564788,0.5030303030303029,0.3333333333333333
Novelty-1 ¤§,0.30026851522105646,0.21819685939570935,0.15646021647048222,0.8964689967821696,0.6363636363636362,0.5111111111111111
Novelty-2 ¤§,0.14086034856729007,0.05923430026893371,0.04467866190947509,0.8409227754031607,0.5757575757575757,0.4666666666666666
Novelty-3 ¤§,0.0857387660138453,0.016256450997195304,0.013534013674990939,0.818589900057975,0.309090909090909,0.24444444444444444
Repetition-1 ¤§,0.33579105724413555,0.25268935763841177,0.1784876442043763,0.8399736827393494,0.3696969696969697,0.24444444444444444
Repetition-2 ¤§,0.36083777604726985,0.2649538542247768,0.18829712280905297,0.8701888751517094,0.3696969696969697,0.24444444444444444
Repetition-3 ¤§,0.36514878056742395,0.2868730902204732,0.20406534133687948,0.8750217086404364,0.4787878787878787,0.3333333333333333
SUPERT-PS ¤ε,0.032014831091910764,0.07142368474832379,0.05195771202292958,0.4008346159306759,0.18787878787878787,0.19999999999999998
SUPERT-SS ¤ε,0.033688343249351965,0.07592370637095926,0.055796928847751906,0.3904387606756696,0.16363636363636364,0.1111111111111111
BLANC-Tune-PS ¤Δ,0.09872980726695652,0.027180576245378205,0.019379412423354572,0.7401319159600847,0.10303030303030303,0.15555555555555553
BLANC-Help-PS ¤Δ,0.0482385059009445,0.022302356218588358,0.016129392454994,0.6147488058431383,0.28484848484848485,0.19999999999999998
BLANC-Tune-SS ¤Δ,0.001261181645591608,0.04436349607866598,0.03397267370094155,0.1856660174415811,0.006060606060606061,0.022222222222222223
BLANC-Help-SS ¤Δ,0.007627951303919337,0.017651997643738305,0.012882527540668922,0.00028771196417815004,0.17575757575757575,0.1111111111111111
BARTScore-PS ¤Δ,0.2427282938974215,0.1829317657756985,0.12909191639527115,0.6339548704087635,0.13939393939393938,0.06666666666666667
BARTScore-SP ¤Δ,0.04178245794078901,0.07534270714285038,0.05314726280097295,0.2065433086593928,0.09090909090909088,0.06666666666666667
