Model,Relevance_system_pearson,Coherence_system_pearson,Empathy_system_pearson,Surprise_system_pearson,Engagement_system_pearson,Complexity_system_pearson,Relevance_system_spearman,Coherence_system_spearman,Empathy_system_spearman,Surprise_system_spearman,Engagement_system_spearman,Complexity_system_spearman,Relevance_system_kendall,Coherence_system_kendall,Empathy_system_kendall,Surprise_system_kendall,Engagement_system_kendall,Complexity_system_kendall
ROUGE-SU* Precision Ξ§,0.6562172096042008,0.3303717871360393,0.35622731615958314,0.6047919333784127,0.4685014596665522,0.6352915667685439,0.5272727272727272,0.32121212121212117,0.28484848484848485,0.41818181818181815,0.32121212121212117,0.5835893219328621,0.4666666666666666,0.15555555555555553,0.15555555555555553,0.24444444444444444,0.15555555555555553,0.3595732599803958
ROUGE-SU* F-Score Ξ§,0.8028571830059095,0.7707632193170144,0.8138687880343234,0.8357907111884304,0.8431684865336644,0.9025477512712191,0.7212121212121211,0.5757575757575757,0.6,0.6242424242424242,0.5757575757575757,0.7173285415424762,0.5555555555555555,0.3333333333333333,0.4222222222222222,0.4222222222222222,0.3333333333333333,0.5393598899705937
METEOR Ξ§,0.7763192056121726,0.7194612768562703,0.7250235784716645,0.8319909880548882,0.8074366507270765,0.8970454543802014,0.7333333333333332,0.6242424242424242,0.6121212121212121,0.6727272727272726,0.6242424242424242,0.7963562622208846,0.5555555555555555,0.4222222222222222,0.4222222222222222,0.5111111111111111,0.4222222222222222,0.6292532049656925
chrF Ξ§,0.7629580459593743,0.745554645768649,0.7368634582801404,0.873878082862299,0.8328729737654667,0.9245492943271234,0.7454545454545454,0.6606060606060605,0.6242424242424242,0.7212121212121211,0.6606060606060605,0.8267515394048879,0.6,0.4666666666666666,0.4666666666666666,0.5555555555555555,0.4666666666666666,0.6741998624632421
CIDEr Ξ§,0.26163626243626703,0.28050919567930643,0.24889831492106446,0.3293694975356647,0.32485807261790683,0.2839650616984611,0.5151515151515151,0.24848484848484845,0.24848484848484845,0.1515151515151515,0.24848484848484845,0.2553203283456271,0.24444444444444444,0.1111111111111111,0.19999999999999998,0.022222222222222223,0.1111111111111111,0.13483997249264842
ROUGE-WE-3 Recall Ξε,0.7535943136902137,0.7803403611558496,0.8096358047662872,0.8243507000602308,0.8430661469174644,0.9030204944086087,0.7212121212121211,0.5757575757575757,0.6,0.6242424242424242,0.5757575757575757,0.7173285415424762,0.5555555555555555,0.3333333333333333,0.4222222222222222,0.4222222222222222,0.3333333333333333,0.5393598899705937
ROUGE-WE-3 Precision Ξε,0.4677541716621625,0.08927309447745282,0.03181701862964245,0.24509419297415777,0.045142296227197204,0.2280424430199841,0.13939393939393938,0.12727272727272726,0.19999999999999998,0.006060606060606061,0.12727272727272726,0.18237166310401937,0.15555555555555553,0.06666666666666667,0.15555555555555553,0.022222222222222223,0.06666666666666667,0.13483997249264842
ROUGE-WE-3 F-Score Ξε,0.6229712033436059,0.8635508069009161,0.8792583385904478,0.8054526891795445,0.8897383043523606,0.8784244389851427,0.6606060606060605,0.6,0.7575757575757575,0.5636363636363636,0.6,0.5106406566912542,0.5111111111111111,0.37777777777777777,0.5555555555555555,0.37777777777777777,0.37777777777777777,0.31462660248284624
BERTScore Precision Ξε,0.30383647941453135,0.1729373517543633,0.10463641643548893,0.41790965695176713,0.3008842699244098,0.4190080669904358,0.2606060606060606,0.16363636363636364,0.07878787878787878,0.22424242424242422,0.16363636363636364,0.3161108827136336,0.15555555555555553,0.1111111111111111,0.06666666666666667,0.1111111111111111,0.1111111111111111,0.1797866299901979
BERTScore Recall Ξε,0.733718773553115,0.8364911339373129,0.8272206061013995,0.9109228371445408,0.9081699032522921,0.9548867162501671,0.709090909090909,0.6363636363636362,0.6363636363636362,0.6969696969696969,0.6363636363636362,0.7781190959104827,0.5555555555555555,0.4222222222222222,0.5111111111111111,0.5111111111111111,0.4222222222222222,0.6292532049656925
BERTScore F1 Ξε,0.69886591627576,0.8790751324957456,0.8867156172959239,0.8781490386166484,0.917392612762717,0.9256483674359616,0.6727272727272726,0.7454545454545454,0.8424242424242423,0.7454545454545454,0.7454545454545454,0.6930123197952736,0.5111111111111111,0.5555555555555555,0.7333333333333333,0.5555555555555555,0.5555555555555555,0.4944132324730442
MoverScore Ξε,0.6732122310273565,0.869487694451522,0.8616844936940944,0.8887458350780584,0.9207061200688631,0.903851511112152,0.7818181818181817,0.709090909090909,0.8181818181818182,0.6242424242424242,0.709090909090909,0.5592731001856595,0.6,0.5555555555555555,0.7333333333333333,0.4666666666666666,0.5555555555555555,0.40451991747794525
DepthScore Ξε,0.670676169999298,0.8738267472813348,0.8619673899618698,0.9071225896260169,0.9343885959003853,0.9562737097279385,0.6121212121212121,0.6606060606060605,0.6848484848484848,0.7212121212121211,0.6606060606060605,0.8145934285312865,0.4222222222222222,0.4666666666666666,0.5555555555555555,0.5555555555555555,0.4666666666666666,0.6741998624632421
BaryScore-W Ξε,0.650862754249555,0.8798787181483014,0.8996162348906683,0.8455728324518138,0.911443500884576,0.8819059628185424,0.709090909090909,0.6969696969696969,0.8060606060606059,0.6848484848484848,0.6969696969696969,0.6443798763008685,0.5555555555555555,0.5111111111111111,0.6888888888888888,0.5111111111111111,0.5111111111111111,0.44946657497549475
BaryScore-SD-10 Ξε,0.4403886821487266,0.5040828694470066,0.35854226704256303,0.6137802719698655,0.524529375264339,0.602288428668347,0.6363636363636362,0.7818181818181817,0.5757575757575757,0.8303030303030302,0.7818181818181817,0.9118583155200968,0.4666666666666666,0.6888888888888888,0.5111111111111111,0.6888888888888888,0.6888888888888888,0.764093177458341
BaryScore-SD-5 Ξε,0.437199179201483,0.5004205987489165,0.35445464270944804,0.6106228501364481,0.5210489441150793,0.5991933031098331,0.6363636363636362,0.7818181818181817,0.5757575757575757,0.8303030303030302,0.7818181818181817,0.9118583155200968,0.4666666666666666,0.6888888888888888,0.5111111111111111,0.6888888888888888,0.6888888888888888,0.764093177458341
BaryScore-SD-1 Ξε,0.4110043039511161,0.4667241458341328,0.3179378103664421,0.5834809911589431,0.4903027044614246,0.5729568672352967,0.6242424242424242,0.7575757575757575,0.5393939393939393,0.7939393939393938,0.7575757575757575,0.8753839828992931,0.4222222222222222,0.6444444444444444,0.4666666666666666,0.6444444444444444,0.6444444444444444,0.7191465199607916
BaryScore-SD-0.5 Ξε,0.3765934245948389,0.4067773986896503,0.2574708375873938,0.540905058208359,0.4387643236294705,0.532023867379557,0.5636363636363636,0.7212121212121211,0.49090909090909085,0.7696969696969697,0.7212121212121211,0.8510677611520905,0.37777777777777777,0.6,0.4222222222222222,0.6,0.6,0.6741998624632421
BaryScore-SD-0.1 Ξε,0.44494597784745715,0.7249219393554561,0.7926422767065083,0.567043173401798,0.6984149805874218,0.5925034148908334,0.6969696969696969,0.6,0.7575757575757575,0.49090909090909085,0.6,0.4012176588288426,0.5111111111111111,0.4666666666666666,0.6444444444444444,0.37777777777777777,0.4666666666666666,0.31462660248284624
BaryScore-SD-0.01 Ξε,0.648465197684023,0.8815163264060719,0.9001079599698653,0.8456953899161468,0.912382475083489,0.8816776692600456,0.7333333333333332,0.7333333333333332,0.8424242424242423,0.6969696969696969,0.7333333333333332,0.6626170426112704,0.6,0.5555555555555555,0.7333333333333333,0.5555555555555555,0.5555555555555555,0.4944132324730442
BaryScore-SD-0.001 Ξε,0.39665186198604163,0.5568270897676524,0.6226257643811615,0.5148036887782788,0.5386819132377625,0.5556526366117807,0.6727272727272726,0.9272727272727272,0.9272727272727272,0.9030303030303028,0.9272727272727272,0.7781190959104827,0.5555555555555555,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.6741998624632421
S3-Pyramid ΞΔ,0.7899466503128176,0.7740565715071702,0.7883395661780025,0.8605803603843651,0.8485583519057516,0.9248215161491933,0.7575757575757575,0.6,0.5878787878787878,0.6484848484848483,0.6,0.7659609850368815,0.6,0.37777777777777777,0.37777777777777777,0.4666666666666666,0.37777777777777777,0.5843065474681431
S3-Responsiveness ΞΔ,0.789245323958726,0.7813228897647035,0.7975299882317017,0.8551092961581357,0.8485044620311863,0.919989513905366,0.6969696969696969,0.6,0.6242424242424242,0.6484848484848483,0.6,0.7477238187264795,0.5111111111111111,0.37777777777777777,0.4666666666666666,0.4666666666666666,0.37777777777777777,0.5843065474681431
SummaQA ΞΔ,0.7160752213583439,0.5706093856478807,0.6104611457478212,0.7698248761641536,0.6990430315554131,0.8015197370844291,0.4424242424242424,0.2727272727272727,0.2727272727272727,0.35757575757575755,0.2727272727272727,0.5288778230016562,0.3333333333333333,0.19999999999999998,0.19999999999999998,0.28888888888888886,0.19999999999999998,0.40451991747794525
InfoLM-FisherRao ΞΔ,0.6076421448392536,0.6609881356312647,0.7275344696435305,0.6979235593628808,0.7591861111624508,0.7546815394978897,0.6484848484848483,0.35757575757575755,0.4666666666666666,0.34545454545454546,0.35757575757575755,0.41337576970244394,0.5111111111111111,0.19999999999999998,0.37777777777777777,0.19999999999999998,0.19999999999999998,0.31462660248284624
InfoLM-R-FisherRao ΞΔ,0.6076421448392536,0.6609881356312647,0.7275344696435305,0.6979235593628808,0.7591861111624508,0.7546815394978897,0.6484848484848483,0.35757575757575755,0.4666666666666666,0.34545454545454546,0.35757575757575755,0.41337576970244394,0.5111111111111111,0.19999999999999998,0.37777777777777777,0.19999999999999998,0.19999999999999998,0.31462660248284624
InfoLM-Sim-FisherRao ΞΔ,0.6076421448392536,0.6609881356312647,0.7275344696435305,0.6979235593628808,0.7591861111624508,0.7546815394978897,0.6484848484848483,0.35757575757575755,0.4666666666666666,0.34545454545454546,0.35757575757575755,0.41337576970244394,0.5111111111111111,0.19999999999999998,0.37777777777777777,0.19999999999999998,0.19999999999999998,0.31462660248284624
BARTScore-SH ΞΔ,0.7762428475380885,0.8647014618772779,0.8783120560868272,0.9264834479028671,0.924440135230139,0.9383456473213551,0.6969696969696969,0.6848484848484848,0.7212121212121211,0.6848484848484848,0.6848484848484848,0.8024353176576852,0.5111111111111111,0.5555555555555555,0.5555555555555555,0.5555555555555555,0.5555555555555555,0.6741998624632421
BARTScore-HS ΞΔ,0.28999928771786815,0.4622460809803372,0.3994588271397619,0.5866091090089437,0.567385191570287,0.5984675750909559,0.2121212121212121,0.13939393939393938,0.09090909090909088,0.17575757575757575,0.13939393939393938,0.24316221747202585,0.1111111111111111,0.06666666666666667,0.022222222222222223,0.06666666666666667,0.06666666666666667,0.13483997249264842
SUPERT-Golden ΞΔ,0.7263922907003761,0.8595667447075664,0.8810296639959031,0.8982884396390614,0.9220951766131081,0.9311708506114472,0.7212121212121211,0.6363636363636362,0.7696969696969697,0.6121212121212121,0.6363636363636362,0.5835893219328621,0.5555555555555555,0.4222222222222222,0.6,0.4222222222222222,0.4222222222222222,0.3595732599803958
BLANC-Golden ΞΔ,0.32537652652801086,0.5985091785024521,0.4691204507811089,0.6945545833187936,0.6568712280572698,0.6760163773180161,0.309090909090909,0.28484848484848485,0.19999999999999998,0.29696969696969694,0.28484848484848485,0.38298049251844074,0.15555555555555553,0.19999999999999998,0.1111111111111111,0.19999999999999998,0.19999999999999998,0.31462660248284624
Coverage ¤§,0.3961913311798662,0.7364992846683077,0.6344837914124106,0.7295300542386645,0.7802979566439565,0.748309329907854,0.5393939393939393,0.49090909090909085,0.32121212121212117,0.4666666666666666,0.49090909090909085,0.5471149893120582,0.3333333333333333,0.37777777777777777,0.19999999999999998,0.37777777777777777,0.37777777777777777,0.44946657497549475
Density ¤§,0.3348534629516976,0.807020714992303,0.7075424248186225,0.7431305737178042,0.8360009819024251,0.7975740549775504,0.3696969696969697,0.38181818181818183,0.2121212121212121,0.35757575757575755,0.38181818181818183,0.42553388057604524,0.24444444444444444,0.28888888888888886,0.1111111111111111,0.28888888888888886,0.28888888888888886,0.3595732599803958
Compression ¤§,0.6786673497143223,0.8065703052592231,0.7878114280537619,0.8923665336787563,0.8876428862578403,0.9431277884864728,0.5393939393939393,0.5757575757575757,0.6242424242424242,0.6484848484848483,0.5757575757575757,0.7416447632896788,0.37777777777777777,0.4222222222222222,0.5111111111111111,0.5111111111111111,0.4222222222222222,0.6292532049656925
