Model,Relevance_system_kendall,Coherence_system_kendall,Empathy_system_kendall,Surprise_system_kendall,Engagement_system_kendall,Complexity_system_kendall
ROUGE-SU* F-Score Ξ§,0.5555555555555555,0.3333333333333333,0.4222222222222222,0.4222222222222222,0.3333333333333333,0.5393598899705937
METEOR Ξ§,0.5555555555555555,0.4222222222222222,0.4222222222222222,0.5111111111111111,0.4222222222222222,0.6292532049656925
chrF Ξ§,0.6,0.4666666666666666,0.4666666666666666,0.5555555555555555,0.4666666666666666,0.6741998624632421
CIDEr Ξ§,0.24444444444444444,0.1111111111111111,0.19999999999999998,0.022222222222222223,0.1111111111111111,0.13483997249264842
ROUGE-WE-3 Recall Ξε,0.5555555555555555,0.3333333333333333,0.4222222222222222,0.4222222222222222,0.3333333333333333,0.5393598899705937
ROUGE-WE-3 Precision Ξε,0.15555555555555553,0.06666666666666667,0.15555555555555553,0.022222222222222223,0.06666666666666667,0.13483997249264842
ROUGE-WE-3 F-Score Ξε,0.5111111111111111,0.37777777777777777,0.5555555555555555,0.37777777777777777,0.37777777777777777,0.31462660248284624
BERTScore Precision Ξε,0.15555555555555553,0.1111111111111111,0.06666666666666667,0.1111111111111111,0.1111111111111111,0.1797866299901979
BERTScore Recall Ξε,0.5555555555555555,0.4222222222222222,0.5111111111111111,0.5111111111111111,0.4222222222222222,0.6292532049656925
BERTScore F1 Ξε,0.5111111111111111,0.5555555555555555,0.7333333333333333,0.5555555555555555,0.5555555555555555,0.4944132324730442
MoverScore Ξε,0.6,0.5555555555555555,0.7333333333333333,0.4666666666666666,0.5555555555555555,0.40451991747794525
DepthScore Ξε,0.4222222222222222,0.4666666666666666,0.5555555555555555,0.5555555555555555,0.4666666666666666,0.6741998624632421
BaryScore-W Ξε,0.5555555555555555,0.5111111111111111,0.6888888888888888,0.5111111111111111,0.5111111111111111,0.44946657497549475
BaryScore-SD-10 Ξε,0.4666666666666666,0.6888888888888888,0.5111111111111111,0.6888888888888888,0.6888888888888888,0.764093177458341
BaryScore-SD-5 Ξε,0.4666666666666666,0.6888888888888888,0.5111111111111111,0.6888888888888888,0.6888888888888888,0.764093177458341
BaryScore-SD-1 Ξε,0.4222222222222222,0.6444444444444444,0.4666666666666666,0.6444444444444444,0.6444444444444444,0.7191465199607916
BaryScore-SD-0.5 Ξε,0.37777777777777777,0.6,0.4222222222222222,0.6,0.6,0.6741998624632421
BaryScore-SD-0.1 Ξε,0.5111111111111111,0.4666666666666666,0.6444444444444444,0.37777777777777777,0.4666666666666666,0.31462660248284624
BaryScore-SD-0.01 Ξε,0.6,0.5555555555555555,0.7333333333333333,0.5555555555555555,0.5555555555555555,0.4944132324730442
BaryScore-SD-0.001 Ξε,0.5555555555555555,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.6741998624632421
S3-Pyramid ΞΔ,0.6,0.37777777777777777,0.37777777777777777,0.4666666666666666,0.37777777777777777,0.5843065474681431
S3-Responsiveness ΞΔ,0.5111111111111111,0.37777777777777777,0.4666666666666666,0.4666666666666666,0.37777777777777777,0.5843065474681431
SummaQA ΞΔ,0.3333333333333333,0.19999999999999998,0.19999999999999998,0.28888888888888886,0.19999999999999998,0.40451991747794525
InfoLM-FisherRao ΞΔ,0.5111111111111111,0.19999999999999998,0.37777777777777777,0.19999999999999998,0.19999999999999998,0.31462660248284624
InfoLM-R-FisherRao ΞΔ,0.5111111111111111,0.19999999999999998,0.37777777777777777,0.19999999999999998,0.19999999999999998,0.31462660248284624
InfoLM-Sim-FisherRao ΞΔ,0.5111111111111111,0.19999999999999998,0.37777777777777777,0.19999999999999998,0.19999999999999998,0.31462660248284624
BARTScore-SH ΞΔ,0.5111111111111111,0.5555555555555555,0.5555555555555555,0.5555555555555555,0.5555555555555555,0.6741998624632421
BARTScore-HS ΞΔ,0.1111111111111111,0.06666666666666667,0.022222222222222223,0.06666666666666667,0.06666666666666667,0.13483997249264842
SUPERT-Golden ΞΔ,0.5555555555555555,0.4222222222222222,0.6,0.4222222222222222,0.4222222222222222,0.3595732599803958
BLANC-Golden ΞΔ,0.15555555555555553,0.19999999999999998,0.1111111111111111,0.19999999999999998,0.19999999999999998,0.31462660248284624
Coverage ¤§,0.3333333333333333,0.37777777777777777,0.19999999999999998,0.37777777777777777,0.37777777777777777,0.44946657497549475
Density ¤§,0.24444444444444444,0.28888888888888886,0.1111111111111111,0.28888888888888886,0.28888888888888886,0.3595732599803958
Compression ¤§,0.37777777777777777,0.4222222222222222,0.5111111111111111,0.5111111111111111,0.4222222222222222,0.6292532049656925
Text length ¤§,0.4666666666666666,0.3333333333333333,0.3333333333333333,0.4222222222222222,0.3333333333333333,0.5393598899705937
Novelty-1 ¤§,0.37777777777777777,0.5111111111111111,0.5111111111111111,0.6,0.5111111111111111,0.7191465199607916
Novelty-2 ¤§,0.24444444444444444,0.4666666666666666,0.28888888888888886,0.4666666666666666,0.4666666666666666,0.44946657497549475
Novelty-3 ¤§,0.06666666666666667,0.24444444444444444,0.06666666666666667,0.3333333333333333,0.24444444444444444,0.31462660248284624
Repetition-1 ¤§,0.28888888888888886,0.24444444444444444,0.15555555555555553,0.24444444444444444,0.24444444444444444,0.31462660248284624
Repetition-2 ¤§,0.28888888888888886,0.24444444444444444,0.15555555555555553,0.24444444444444444,0.24444444444444444,0.31462660248284624
Repetition-3 ¤§,0.37777777777777777,0.3333333333333333,0.24444444444444444,0.3333333333333333,0.3333333333333333,0.31462660248284624
SUPERT-PS ¤ε,0.1111111111111111,0.19999999999999998,0.022222222222222223,0.19999999999999998,0.19999999999999998,0.1797866299901979
SUPERT-SS ¤ε,0.19999999999999998,0.1111111111111111,0.022222222222222223,0.1111111111111111,0.1111111111111111,0.13483997249264842
BLANC-Tune-PS ¤Δ,0.24444444444444444,0.15555555555555553,0.022222222222222223,0.15555555555555553,0.15555555555555553,0.044946657497549475
BLANC-Help-PS ¤Δ,0.022222222222222223,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.13483997249264842
BLANC-Tune-SS ¤Δ,0.28888888888888886,0.022222222222222223,0.06666666666666667,0.022222222222222223,0.022222222222222223,0.044946657497549475
BLANC-Help-SS ¤Δ,0.4222222222222222,0.1111111111111111,0.19999999999999998,0.022222222222222223,0.1111111111111111,0.13483997249264842
BARTScore-PS ¤Δ,0.1111111111111111,0.06666666666666667,0.022222222222222223,0.06666666666666667,0.06666666666666667,0.13483997249264842
BARTScore-SP ¤Δ,0.28888888888888886,0.06666666666666667,0.06666666666666667,0.15555555555555553,0.06666666666666667,0.22473328748774737
