Model,Relevance_story_pearson,Coherence_story_pearson,Empathy_story_pearson,Surprise_story_pearson,Engagement_story_pearson,Complexity_story_pearson,Relevance_story_spearman,Coherence_story_spearman,Empathy_story_spearman,Surprise_story_spearman,Engagement_story_spearman,Complexity_story_spearman,Relevance_story_kendall,Coherence_story_kendall,Empathy_story_kendall,Surprise_story_kendall,Engagement_story_kendall,Complexity_story_kendall,Relevance_system_pearson,Coherence_system_pearson,Empathy_system_pearson,Surprise_system_pearson,Engagement_system_pearson,Complexity_system_pearson,Relevance_system_spearman,Coherence_system_spearman,Empathy_system_spearman,Surprise_system_spearman,Engagement_system_spearman,Complexity_system_spearman,Relevance_system_kendall,Coherence_system_kendall,Empathy_system_kendall,Surprise_system_kendall,Engagement_system_kendall,Complexity_system_kendall
ROUGE-4 Recall Ξ§,0.014338416511075014,0.013384086979923791,0.02387199758281674,0.05304053330208045,0.02814918880589919,0.04586261342403818,0.02430233297836813,0.0048106684737845296,0.03688009407929221,0.04144594516192842,0.03454780631552197,0.048015247291325565,0.021306654308702502,0.006232743869381922,0.03033764244761156,0.03550088579106566,0.03094478692634032,0.04321336345627968,0.4021372343491424,0.14292512911052663,0.12989049842230874,0.37191987743304217,0.2794009656152443,0.3894525596006255,0.32121212121212117,0.04242424242424241,0.05454545454545454,0.11515151515151514,0.04242424242424241,0.18845071854082002,0.19999999999999998,0.1111111111111111,0.1111111111111111,0.022222222222222223,0.1111111111111111,0.044946657497549475
ROUGE-4 Precision Ξ§,0.045712320474934516,0.01600934582559854,0.00631411014463409,0.08151546387684992,0.05947401516590852,0.09050758104491115,0.03912174377784211,0.013386194680531446,0.023560239763179187,0.053383539448662046,0.04206079959108031,0.06490611072705618,0.03408289372280761,0.013859276775896203,0.022781075379503822,0.04581886815811849,0.03610334852863757,0.05491982894351697,0.7105410039810973,0.5701776330455505,0.5953210974044219,0.7820632973212633,0.6872896707217643,0.7699280679756666,0.43030303030303024,0.2121212121212121,0.2121212121212121,0.309090909090909,0.2121212121212121,0.4012176588288426,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.19999999999999998,0.1111111111111111,0.26967994498529685
ROUGE-4 F-Score Ξ§,0.02301539346054768,0.0055891359198415366,0.013520132601877084,0.06160378061169329,0.03716868688790036,0.058725922363313615,0.03624399788965722,0.012159216159419372,0.02806693600349711,0.05009241589592284,0.04104115037442986,0.06036947351544173,0.03314193876773775,0.013045967994940384,0.024611050903607618,0.04239179719962685,0.03522008282580874,0.051596035531005585,0.5558959744776244,0.3772207654400158,0.37615451300009467,0.6059409220436778,0.5104100249020969,0.6134627134814858,0.32121212121212117,0.10303030303030303,0.07878787878787878,0.19999999999999998,0.10303030303030303,0.23708316203522517,0.19999999999999998,0.022222222222222223,0.022222222222222223,0.06666666666666667,0.022222222222222223,0.13483997249264842
ROUGE-L Recall Ξ§,0.18000480221546908,0.3343361032951109,0.2891568280017318,0.2801173548341431,0.3617924771099612,0.5071752400020605,0.17168840612362835,0.28395856867421126,0.2804505835842975,0.2797494897193307,0.3448288150442824,0.47217059624119545,0.13948314971805567,0.22747092230048474,0.22812538486208567,0.21604597622534158,0.2742967510548086,0.37929214817123097,0.7691417101725779,0.7136555871357599,0.7379068817154671,0.800479071053884,0.7872026927465763,0.8758155963069576,0.709090909090909,0.6363636363636362,0.6363636363636362,0.6969696969696969,0.6363636363636362,0.7781190959104827,0.5555555555555555,0.4222222222222222,0.5111111111111111,0.5111111111111111,0.4222222222222222,0.6292532049656925
ROUGE-L Precision Ξ§,0.11485195630835536,0.21836528019038856,0.19319001967796198,0.2452959436834811,0.288477601312548,0.43347379761897953,0.11485037894303818,0.15085183158227344,0.1719191612081825,0.22857683601811854,0.2474912248767601,0.4122057167759503,0.09023060802380438,0.12850482310266614,0.1376968426159498,0.17760044773462405,0.1945413393935911,0.32815698277714417,0.7259257852764522,0.6505881478271431,0.6484287656716266,0.8199840083068617,0.7639085220984554,0.8689370644265986,0.5151515151515151,0.33333333333333326,0.29696969696969694,0.43030303030303024,0.33333333333333326,0.5957474328064633,0.4222222222222222,0.19999999999999998,0.19999999999999998,0.28888888888888886,0.19999999999999998,0.40451991747794525
ROUGE-L F-Score Ξ§,0.13005521858994842,0.24598533237220477,0.2001267663581218,0.17339343647975736,0.24234666480088604,0.3037150780667631,0.11491798040825646,0.19065250114310536,0.1833785281377884,0.17062007244946506,0.21778908883615755,0.26114559126711523,0.09175927770114978,0.1489889296054565,0.14788448123232611,0.13098237361376508,0.16883143087395572,0.20956574121240842,0.5892088840898617,0.8049946637277776,0.8301506676975186,0.7249219728481019,0.8162557235029781,0.791463649200325,0.6121212121212121,0.5878787878787878,0.7212121212121211,0.5636363636363636,0.5878787878787878,0.5106406566912542,0.4666666666666666,0.4222222222222222,0.6,0.4222222222222222,0.4222222222222222,0.3595732599803958
ROUGE-W-1.2 Recall Ξ§,0.18136550216834868,0.33485314938260197,0.2873865921086748,0.277148165887031,0.35950071154491475,0.5049537783997117,0.1689895316108507,0.27338579210255637,0.2768441017219968,0.27066261596302454,0.3355588195001263,0.4665458035712506,0.1356919832676262,0.21648113188808224,0.22400273070994406,0.20790177703549964,0.26490886041569794,0.3724895906171717,0.7612031392623068,0.7251039042759025,0.7399045081477422,0.80803252301577,0.7961899962401949,0.8830660446447298,0.709090909090909,0.6363636363636362,0.6363636363636362,0.6969696969696969,0.6363636363636362,0.7781190959104827,0.5555555555555555,0.4222222222222222,0.5111111111111111,0.5111111111111111,0.4222222222222222,0.6292532049656925
ROUGE-W-1.2 Precision Ξ§,0.12675413837747754,0.254224731227563,0.22050467204078228,0.26819116643983243,0.32104204006423936,0.47088215789030813,0.12115259182353673,0.17497200769002363,0.1873517247387617,0.2393077806248851,0.2636975809643578,0.4342362863396352,0.09262162133905637,0.14138282721888404,0.15034850891959547,0.18624367090957972,0.2076043345585498,0.3452708939161003,0.7269351514178393,0.6887899319110505,0.683518059657415,0.8351317739063794,0.7947918358349978,0.8874064402224264,0.5151515151515151,0.33333333333333326,0.29696969696969694,0.43030303030303024,0.33333333333333326,0.5957474328064633,0.4222222222222222,0.19999999999999998,0.19999999999999998,0.28888888888888886,0.19999999999999998,0.40451991747794525
ROUGE-W-1.2 F-Score Ξ§,0.168691921810627,0.3017157178127379,0.2542285831532028,0.22268309840880618,0.31172376522198314,0.4188914856318802,0.15864858263203072,0.2502256252310701,0.23849379756814018,0.22260712504930158,0.28737871818144173,0.37582474603854,0.12913795221563318,0.19628184925794057,0.19673251701557026,0.17316587003473494,0.22505866555922402,0.29666031648082875,0.6888777231181642,0.7954333574409106,0.8153780807324597,0.7920916139537243,0.8361639314697298,0.8652501997766028,0.7333333333333332,0.6606060606060605,0.7454545454545454,0.6606060606060605,0.6606060606060605,0.6565379871744699,0.6,0.4666666666666666,0.6444444444444444,0.4666666666666666,0.4666666666666666,0.4944132324730442
ROUGE-S* Recall Ξ§,0.18102699080054738,0.31511186905706384,0.2893852009551257,0.28086271167710253,0.35318244411487704,0.5099569452301664,0.18578054519010534,0.2932736743045019,0.29324320600476766,0.3024682952380975,0.3660494595903698,0.5006372332882895,0.14624655961077404,0.2310777879953152,0.23079243261683713,0.228058673664176,0.28785947875658896,0.3978069080033227,0.8024003267945665,0.6440384499271912,0.6689103211467302,0.7727978541336588,0.7299288369910928,0.8439004938676171,0.7575757575757575,0.6,0.5878787878787878,0.6484848484848483,0.6,0.7659609850368815,0.6,0.37777777777777777,0.37777777777777777,0.4666666666666666,0.37777777777777777,0.5843065474681431
