Model,Relevance_story_spearman,Coherence_story_spearman,Empathy_story_spearman,Surprise_story_spearman,Engagement_story_spearman,Complexity_story_spearman,Relevance_system_spearman,Coherence_system_spearman,Empathy_system_spearman,Surprise_system_spearman,Engagement_system_spearman,Complexity_system_spearman
BaryScore-SD-0.5 Ξε,0.019750329038733003,0.011823190134298353,0.1022551164307536,0.017786704639278308,0.018263910400761453,0.019166335313341536,0.5636363636363636,0.7212121212121211,0.49090909090909085,0.7696969696969697,0.7212121212121211,0.8510677611520905
BaryScore-SD-0.1 Ξε,0.12365076851453152,0.13422582328269678,0.18874329120097397,0.08600373500476803,0.17482313306366143,0.18788428795538845,0.6969696969696969,0.6,0.7575757575757575,0.49090909090909085,0.6,0.4012176588288426
BaryScore-SD-0.01 Ξε,0.16168157699600164,0.21728086151687548,0.2417163925620132,0.17605729452235627,0.2732118528067991,0.33392197919002925,0.7333333333333332,0.7333333333333332,0.8424242424242423,0.6969696969696969,0.7333333333333332,0.6626170426112704
BaryScore-SD-0.001 Ξε,0.08888289511490398,0.19603069140894513,0.1133447318721595,0.17600120263626895,0.20162361819982966,0.2811893732544023,0.6727272727272726,0.9272727272727272,0.9272727272727272,0.9030303030303028,0.9272727272727272,0.7781190959104827
S3-Pyramid ΞΔ,0.19613915268523166,0.25876179231764107,0.2716794276626752,0.239024298278401,0.3145914924257315,0.4196864559983744,0.7575757575757575,0.6,0.5878787878787878,0.6484848484848483,0.6,0.7659609850368815
S3-Responsiveness ΞΔ,0.21645159575389328,0.2593834189678493,0.26282394910878953,0.2238067290172101,0.3093534053049317,0.4054967762161804,0.6969696969696969,0.6,0.6242424242424242,0.6484848484848483,0.6,0.7477238187264795
SummaQA ΞΔ,0.0695422806748121,0.08750424921739564,0.08820254620978948,0.21419309105485862,0.18070627636216152,0.2915500949633641,0.4424242424242424,0.2727272727272727,0.2727272727272727,0.35757575757575755,0.2727272727272727,0.5288778230016562
InfoLM-FisherRao ΞΔ,0.1573510918241672,0.12482301217962091,0.13481157693013962,0.0752099430655641,0.15038998386396255,0.20555874101373997,0.6484848484848483,0.35757575757575755,0.4666666666666666,0.34545454545454546,0.35757575757575755,0.41337576970244394
InfoLM-R-FisherRao ΞΔ,0.1573510918241672,0.12482301217962091,0.13481157693013962,0.0752099430655641,0.15038998386396255,0.20555874101373997,0.6484848484848483,0.35757575757575755,0.4666666666666666,0.34545454545454546,0.35757575757575755,0.41337576970244394
InfoLM-Sim-FisherRao ΞΔ,0.1573510918241672,0.12482301217962091,0.13481157693013962,0.0752099430655641,0.15038998386396255,0.20555874101373997,0.6484848484848483,0.35757575757575755,0.4666666666666666,0.34545454545454546,0.35757575757575755,0.41337576970244394
BARTScore-SH ΞΔ,0.04836240929256852,0.0481985363916618,0.15085873548760462,0.054487990817670154,0.10995468129354126,0.1091747862226865,0.6969696969696969,0.6848484848484848,0.7212121212121211,0.6848484848484848,0.6848484848484848,0.8024353176576852
BARTScore-HS ΞΔ,0.03537132265863361,0.11251306951604208,0.002223250812846971,0.17868285307858622,0.15044358198334398,0.228565903508889,0.2121212121212121,0.13939393939393938,0.09090909090909088,0.17575757575757575,0.13939393939393938,0.24316221747202585
SUPERT-Golden ΞΔ,0.23679771634351873,0.1886781236704349,0.21570211288460048,0.11790824351666487,0.2369147828399128,0.2354086205588813,0.7212121212121211,0.6363636363636362,0.7696969696969697,0.6121212121212121,0.6363636363636362,0.5835893219328621
BLANC-Golden ΞΔ,0.12142328291181088,0.06416222486999974,0.03473674020298245,0.02954851113724827,0.057914531315339995,0.08729153779236559,0.309090909090909,0.28484848484848485,0.19999999999999998,0.29696969696969694,0.28484848484848485,0.38298049251844074
Coverage ¤§,0.07437857193614408,0.007538339937278075,0.0666385889066615,0.05917493248962705,0.027506644058744086,0.018200816299187076,0.5393939393939393,0.49090909090909085,0.32121212121212117,0.4666666666666666,0.49090909090909085,0.5471149893120582
Density ¤§,0.10351655156676279,0.006039501872335997,0.06159020020811943,0.07173154882038593,0.033167513495301226,0.02647079188919151,0.3696969696969697,0.38181818181818183,0.2121212121212121,0.35757575757575755,0.38181818181818183,0.42553388057604524
Compression ¤§,0.08666134454762572,0.12967924475536707,0.17177486722788388,0.18360303927385122,0.20986789068685002,0.28437879078871836,0.5393939393939393,0.5757575757575757,0.6242424242424242,0.6484848484848483,0.5757575757575757,0.7416447632896788
Text length ¤§,0.15914043097569353,0.22416912613207118,0.2338203906322622,0.27138871097121964,0.31471093194165695,0.4738597794761686,0.6242424242424242,0.5030303030303029,0.4545454545454545,0.5757575757575757,0.5030303030303029,0.7477238187264795
Novelty-1 ¤§,0.006778684561160692,0.15408296650638098,0.15228497015293863,0.21056091961796283,0.21819685939570935,0.28984529566966144,0.5636363636363636,0.6363636363636362,0.5393939393939393,0.7454545454545454,0.6363636363636362,0.8753839828992931
Novelty-2 ¤§,0.10000572936937271,0.029199264779471795,0.027181540504250867,0.05223331707758168,0.05923430026893371,0.04641928385975078,0.34545454545454546,0.5757575757575757,0.3696969696969697,0.5757575757575757,0.5757575757575757,0.5775102664960614
Novelty-3 ¤§,0.19504526587643095,0.020858408011200584,0.017635245089301664,0.026269253627219602,0.016256450997195304,0.019627659853788792,0.04242424242424241,0.309090909090909,0.09090909090909088,0.3696969696969697,0.309090909090909,0.35258521533443743
Repetition-1 ¤§,0.07582404156569923,0.23725312620206512,0.08714231325161174,0.24925967426481713,0.25268935763841177,0.33155296790538424,0.3939393939393939,0.3696969696969697,0.2606060606060606,0.3696969696969697,0.3696969696969697,0.41337576970244394
